# Opcode handler mappings - 2244 handlers
# Format: opcode_id (decimal) | opcode_id (hex) | handler_address

 647 | 0x0287 | 0x003726f0
 648 | 0x0288 | 0x003c5020
 649 | 0x0289 | 0x003806a0
 650 | 0x028a | 0x0035cad0
 651 | 0x028b | 0x00360750
 652 | 0x028c | 0x00393b20
 653 | 0x028d | 0x003cf940
 654 | 0x028e | 0x0038d8b0
 655 | 0x028f | 0x00387870
 656 | 0x0290 | 0x003cbf00
 657 | 0x0291 | 0x003bf590
 658 | 0x0292 | 0x0038b230
 659 | 0x0293 | 0x00394a70
 660 | 0x0294 | 0x003c06f0
 661 | 0x0295 | 0x0035c770
 662 | 0x0296 | 0x003713d0
 663 | 0x0297 | 0x00389550
 664 | 0x0298 | 0x00392310
 665 | 0x0299 | 0x00398820
 666 | 0x029a | 0x003ce980
 667 | 0x029b | 0x00393e30
 668 | 0x029c | 0x00439450
 669 | 0x029d | 0x003d9c40
 670 | 0x029e | 0x0038ec60
 671 | 0x029f | 0x003bed90
 672 | 0x02a0 | 0x0035b6d0
 673 | 0x02a1 | 0x0035bbc0
 674 | 0x02a2 | 0x003929a0
 675 | 0x02a3 | 0x003f01c0
 676 | 0x02a4 | 0x0048ceb0
 677 | 0x02a5 | 0x00395e90
 678 | 0x02a6 | 0x0048f530
 679 | 0x02a7 | 0x00392770
 680 | 0x02a8 | 0x003d9500
 681 | 0x02a9 | 0x003bfa90
 682 | 0x02aa | 0x00382d40
 683 | 0x02ab | 0x003975c0
 684 | 0x02ac | 0x00392540
 685 | 0x02ad | 0x003be240
 686 | 0x02ae | 0x00399540
 687 | 0x02af | 0x0038bc40
 688 | 0x02b0 | 0x00383a60
 689 | 0x02b1 | 0x0035d220
 690 | 0x02b2 | 0x0038dd80
 691 | 0x02b3 | 0x00392e00
 692 | 0x02b4 | 0x004351e0
 693 | 0x02b5 | 0x003c0230
 694 | 0x02b6 | 0x003da480
 695 | 0x02b7 | 0x0037b970
 696 | 0x02b8 | 0x00388c90
 697 | 0x02b9 | 0x003bfb70
 698 | 0x02ba | 0x0038bd20
 699 | 0x02bb | 0x0043a7f0
 700 | 0x02bc | 0x00388050
 701 | 0x02bd | 0x003944c0
 702 | 0x02be | 0x00367aa0
 703 | 0x02bf | 0x003628b0
 704 | 0x02c0 | 0x003604a0
 705 | 0x02c1 | 0x003bfe70
 706 | 0x02c2 | 0x00398740
 707 | 0x02c3 | 0x0040c880
 708 | 0x02c4 | 0x00397630
 709 | 0x02c5 | 0x00428580
